squad,squad_size,foreigners,squad_value_avg,squad_value,season_start_year,season_end_year
Real Sociedad,33,8,9120000.0,300950000.0,2018,2019
Betis,34,15,8550000.0,290750000.0,2018,2019
Ath Bilbao,32,3,7320000.0,234250000.0,2018,2019
Celta Vigo,30,19,7800000.0,234100000.0,2018,2019
Villarreal,32,12,7210000.0,230650000.0,2018,2019
Espanyol,30,9,5820000.0,174700000.0,2018,2019
Getafe,28,13,4720000.0,132200000.0,2018,2019
Leganes,38,19,2960000.0,112450000.0,2018,2019
Alaves,29,10,3820000.0,110800000.0,2018,2019
Levante,31,10,3480000.0,107850000.0,2018,2019
Girona,33,12,2950000.0,97250000.0,2018,2019
Eibar,29,8,3240000.0,93900000.0,2018,2019
Rayo Vallecano,36,13,2410000.0,86700000.0,2018,2019
Valladolid,41,8,2020000.0,83000000.0,2018,2019
Huesca,39,15,1570000.0,61400000.0,2018,2019
Barcelona,42,23,22150000.0,930280000.0,2019,2020
Real Madrid,33,21,27690000.0,913750000.0,2019,2020
Atl. Madrid,33,16,21820000.0,720150000.0,2019,2020
Valencia,33,17,12960000.0,427800000.0,2019,2020
Real Sociedad,36,7,9650000.0,347550000.0,2019,2020
Sevilla,35,16,8420000.0,294750000.0,2019,2020
Betis,38,10,6430000.0,244350000.0,2019,2020
Ath Bilbao,32,2,6620000.0,211750000.0,2019,2020
Villarreal,33,11,6320000.0,208680000.0,2019,2020
Getafe,33,17,5320000.0,175450000.0,2019,2020
Celta Vigo,35,13,4770000.0,167000000.0,2019,2020
Espanyol,40,12,3900000.0,156050000.0,2019,2020
Leganes,39,16,2810000.0,109700000.0,2019,2020
Alaves,37,11,2890000.0,106750000.0,2019,2020
Levante,33,8,2740000.0,90500000.0,2019,2020
Valladolid,37,9,2370000.0,87780000.0,2019,2020
Mallorca,35,15,1850000.0,64680000.00000001,2019,2020
Osasuna,37,4,1700000.0,62780000.0,2019,2020
Granada CF,34,13,1660000.0,56580000.0,2019,2020
Eibar,29,11,1850000.0,53750000.0,2019,2020
Barcelona,32,20,25420000.0,813500000.0,2020,2021
Real Madrid,37,17,21280000.0,787300000.0,2020,2021
Atl. Madrid,39,21,19820000.0,773100000.0,2020,2021
Sevilla,38,17,11010000.0,418250000.0,2020,2021
Real Sociedad,38,5,10700000.0,406600000.0,2020,2021
Villarreal,36,13,8130000.000000001,292600000.0,2020,2021
Valencia,35,20,7970000.0,278850000.0,2020,2021
Betis,33,12,6290000.0,207700000.0,2020,2021
Ath Bilbao,32,2,6380000.0,204150000.0,2020,2021
Getafe,33,19,5150000.0,170100000.0,2020,2021
Celta Vigo,41,12,3800000.0,155850000.0,2020,2021
Granada CF,44,17,2790000.0,122650000.0,2020,2021
Levante,34,10,3320000.0,113000000.0,2020,2021
Osasuna,36,7,2690000.0,96750000.0,2020,2021
Eibar,34,9,2450000.0,83400000.0,2020,2021
Alaves,35,10,2280000.0,79800000.0,2020,2021
Huesca,34,9,1890000.0,64099999.99999999,2020,2021
Valladolid,41,9,1550000.0,63350000.0,2020,2021
Cadiz CF,41,16,1160000.0,47650000.0,2020,2021
Elche,41,15,1110000.0,45650000.0,2020,2021
Real Madrid,36,19,21410000.0,770750000.0,2021,2022
Barcelona,47,24,15650000.0,735600000.0,2021,2022
Atl. Madrid,43,24,15390000.0,661800000.0,2021,2022
Villarreal,39,15,10480000.0,408900000.0,2021,2022
Sevilla,43,21,8950000.0,385000000.0,2021,2022
Real Sociedad,40,7,9420000.0,376950000.0,2021,2022
Valencia,44,20,7060000.0,310600000.0,2021,2022
Betis,38,13,6820000.0,259000000.0,2021,2022
Ath Bilbao,31,1,7290000.0,226050000.0,2021,2022
Getafe,43,18,4850000.0,208680000.0,2021,2022
Espanyol,38,7,3460000.0,131600000.0,2021,2022
Celta Vigo,34,11,3530000.0,120000000.0,2021,2022
Osasuna,32,4,3390000.0,108450000.0,2021,2022
Granada CF,39,16,2660000.0,103750000.0,2021,2022
Levante,42,12,1850000.0,77900000.0,2021,2022
Mallorca,41,16,1810000.0,74150000.0,2021,2022
Elche,37,13,1970000.0,72980000.0,2021,2022
Cadiz CF,37,14,1830000.0,67800000.0,2021,2022
Rayo Vallecano,36,14,1870000.0,67200000.0,2021,2022
Alaves,43,15,1520000.0,65349999.99999999,2021,2022
Real Madrid,36,20,25650000.0,923450000.0,2022,2023
Barcelona,41,14,20410000.0,836800000.0,2022,2023
Atl. Madrid,40,22,13360000.0,534300000.0,2022,2023
Real Sociedad,37,6,11940000.0,441700000.0,2022,2023
Villarreal,43,15,8450000.0,363500000.0,2022,2023
Valencia,40,18,6240000.0,249780000.0,2022,2023
Betis,38,13,6480000.0,246400000.0,2022,2023
Sevilla,42,23,5540000.0,232580000.0,2022,2023
Ath Bilbao,31,1,7180000.0,222450000.0,2022,2023
Osasuna,31,4,4840000.0,150050000.0,2022,2023
Girona,37,13,3780000.0,139900000.0,2022,2023
Celta Vigo,36,12,3860000.0,139100000.0,2022,2023
Getafe,34,14,3500000.0,118900000.0,2022,2023
Espanyol,36,10,3230000.0,116350000.0,2022,2023
Almeria,36,18,3170000.0,114200000.0,2022,2023
Mallorca,38,19,2820000.0,107000000.0,2022,2023
Rayo Vallecano,29,10,3570000.0,103400000.0,2022,2023
Valladolid,41,17,2210000.0,90750000.0,2022,2023
Elche,40,16,1690000.0,67500000.0,2022,2023
Cadiz CF,47,17,1400000.0,65599999.99999999,2022,2023
Real Madrid,24,17,43210000.0,1040000000.0,2023,2024
Barcelona,26,11,32290000.0,839500000.0,2023,2024
Real Sociedad,28,8,17160000.0,480600000.0,2023,2024
Atl. Madrid,25,16,16710000.0,417800000.0,2023,2024
Ath Bilbao,25,1,10460000.0,261600000.00000003,2023,2024
Girona,23,9,10730000.0,246800000.0,2023,2024
Valencia,25,9,8640000.0,215950000.0,2023,2024
Villarreal,29,11,7370000.0,213700000.0,2023,2024
Sevilla,28,18,7570000.0,212000000.0,2023,2024
Betis,26,15,7630000.0,198500000.0,2023,2024
Celta Vigo,27,12,4150000.000000001,112100000.0,2023,2024
Osasuna,21,2,4730000.0,99300000.0,2023,2024
Alaves,22,8,4420000.0,97200000.0,2023,2024
Las Palmas,27,8,3580000.0,96600000.0,2023,2024
Getafe,22,10,4350000.0,95600000.0,2023,2024
Granada CF,26,11,3370000.0,87500000.0,2023,2024
Mallorca,24,11,3630000.0,87100000.0,2023,2024
Almeria,25,14,2910000.0,72800000.0,2023,2024
Rayo Vallecano,25,12,2740000.0,68600000.0,2023,2024
Cadiz CF,29,10,2140000.0,62100000.0,2023,2024
Juventus,59,25,14760000.0,871050000.0,2018,2019
Napoli,54,27,11980000.0,646800000.0,2018,2019
Inter,60,30,10300000.0,617930000.0,2018,2019
AC Milan,45,22,12860000.0,578480000.0,2018,2019
AS Roma,57,27,8050000.000000001,459050000.0,2018,2019
Atalanta,88,29,4180000.0,367680000.0,2018,2019
Fiorentina,56,36,5630000.0,315330000.0,2018,2019
Lazio,57,33,5110000.0,291150000.0,2018,2019
Sassuolo,59,15,4100000.0,242050000.0,2018,2019
Torino,62,29,3860000.0,239230000.0,2018,2019
Sampdoria,59,30,3670000.0,216750000.0,2018,2019
Udinese,56,41,3590000.0,201200000.0,2018,2019
Genoa,69,35,2780000.0,191730000.0,2018,2019
Cagliari,49,18,3170000.0,155380000.0,2018,2019
Bologna,48,28,2490000.0,119680000.0,2018,2019
Empoli,59,24,1790000.0,105600000.0,2018,2019
Spal,51,20,1910000.0,97400000.0,2018,2019
Parma,70,19,1370000.0,95750000.0,2018,2019
Chievo Verona,68,32,804000.0,54700000.0,2018,2019
Frosinone,44,10,1240000.0,54530000.0,2018,2019
Juventus,38,23,17420000.0,661880000.0,2019,2020
Inter,34,19,17830000.0,606050000.0,2019,2020
Napoli,33,24,16610000.0,548280000.0,2019,2020
AC Milan,37,22,10930000.0,404330000.0,2019,2020
AS Roma,36,23,10910000.0,392730000.0,2019,2020
Lazio,34,24,8940000.0,303880000.0,2019,2020
Fiorentina,42,28,7200000.0,302230000.0,2019,2020
Atalanta,37,26,7880000.0,291430000.0,2019,2020
Sassuolo,44,18,3820000.0,167980000.0,2019,2020
Cagliari,41,16,4090000.0,167830000.0,2019,2020
Torino,37,17,4420000.0,163550000.0,2019,2020
Genoa,43,25,3310000.0,142380000.0,2019,2020
Sampdoria,38,19,3560000.0,135280000.0,2019,2020
Bologna,40,26,3240000.0,129650000.0,2019,2020
Parma,40,19,3220000.0,128750000.0,2019,2020
Udinese,39,28,3100000.0,121080000.0,2019,2020
Verona,40,19,2810000.0,112530000.0,2019,2020
Brescia,33,11,2520000.0,83230000.0,2019,2020
Spal,42,23,1750000.0,73630000.0,2019,2020
Lecce,47,17,1110000.0,52330000.0,2019,2020
Inter,41,22,16190000.000000002,663900000.0,2020,2021
Juventus,45,26,14070000.0,633300000.0,2020,2021
AC Milan,42,27,13040000.0,547780000.0,2020,2021
Napoli,32,21,16570000.0,530200000.00000006,2020,2021
Atalanta,39,21,11030000.0,430000000.0,2020,2021
AS Roma,46,28,8600000.0,395650000.0,2020,2021
Lazio,44,32,7420000.0,326330000.0,2020,2021
Fiorentina,41,24,7000000.0,286800000.0,2020,2021
Sassuolo,39,19,6200000.0,241740000.0,2020,2021
Cagliari,42,19,4470000.0,187830000.0,2020,2021
Torino,40,22,4380000.0,175280000.0,2020,2021
Udinese,42,30,4120000.0,173000000.0,2020,2021
Verona,46,21,3420000.0,157210000.0,2020,2021
Bologna,45,27,3410000.0,153600000.0,2020,2021
Parma,53,30,2430000.0,128700000.0,2020,2021
Sampdoria,34,18,3740000.0,127180000.0,2020,2021
Genoa,44,23,2540000.0,111930000.0,2020,2021
Spezia,39,17,1840000.0,71680000.0,2020,2021
Crotone,41,19,1290000.0,52750000.0,2020,2021
Benevento,36,14,1390000.0,50130000.0,2020,2021
Juventus,43,24,14940000.0,642500000.0,2021,2022
Inter,36,20,15520000.0,558550000.0,2021,2022
AC Milan,37,22,14780000.0,546950000.0,2021,2022
Napoli,37,20,12900000.0,477230000.0,2021,2022
Atalanta,44,24,9060000.0,398750000.0,2021,2022
AS Roma,39,25,9780000.0,381250000.0,2021,2022
Fiorentina,38,22,8570000.0,325800000.0,2021,2022
Lazio,34,24,7780000.0,264480000.00000003,2021,2022
Sassuolo,43,22,5840000.0,251000000.0,2021,2022
Torino,41,25,5450000.0,223400000.0,2021,2022
Bologna,45,28,4140000.0,186200000.0,2021,2022
Verona,43,19,3790000.0,162980000.0,2021,2022
Udinese,44,26,3230000.0,142300000.0,2021,2022
Cagliari,46,23,2920000.0,134530000.0,2021,2022
Sampdoria,46,19,2790000.0,128550000.0,2021,2022
Empoli,40,12,3160000.0,126500000.0,2021,2022
Genoa,47,24,2580000.0,121280000.0,2021,2022
Venezia,51,35,1590000.0,80980000.0,2021,2022
Spezia,34,23,2310000.0,78500000.0,2021,2022
Salernitana,51,26,1380000.0,70560000.0,2021,2022
Napoli,31,20,21100000.0,654080000.0,2022,2023
Inter,35,22,16219999.999999998,567550000.0,2022,2023
AC Milan,36,27,15140000.0,545100000.0,2022,2023
Juventus,40,19,12080000.0,483130000.0,2022,2023
AS Roma,47,27,7690000.0,361380000.0,2022,2023
Atalanta,38,20,8900000.0,338380000.0,2022,2023
Lazio,33,20,8070000.0,266430000.0,2022,2023
Fiorentina,38,18,6810000.0,258800000.0,2022,2023
Sassuolo,35,19,6630000.0,232200000.0,2022,2023
Torino,38,29,5190000.0,197190000.0,2022,2023
Udinese,38,28,4970000.0,188860000.0,2022,2023
Bologna,38,22,4040000.0,153630000.0,2022,2023
Monza,41,12,3310000.0,135700000.0,2022,2023
Empoli,44,19,2850000.0,125530000.0,2022,2023
Verona,46,26,2690000.0,123890000.0,2022,2023
Salernitana,45,27,2630000.0,118350000.0,2022,2023
Spezia,48,33,2410000.0,115810000.0,2022,2023
Lecce,39,23,2700000.0,105200000.0,2022,2023
Cremonese,42,19,1990000.0,83780000.0,2022,2023
Sampdoria,48,26,1730000.0,82960000.0,2022,2023
Inter,25,16,24890000.0,622350000.0,2023,2024
AC Milan,26,17,20520000.0,533450000.00000006,2023,2024
Napoli,26,19,19740000.0,513150000.0,2023,2024
Juventus,27,15,18160000.0,490200000.0,2023,2024
Atalanta,25,17,13980000.0,349600000.0,2023,2024
AS Roma,26,18,12600000.0,327650000.0,2023,2024
Bologna,27,20,9430000.0,254550000.0,2023,2024
Fiorentina,28,14,8870000.0,248400000.0,2023,2024
Lazio,27,15,8430000.0,227630000.0,2023,2024
Torino,25,18,7260000.0,181400000.0,2023,2024
Sassuolo,27,15,5220000.0,140900000.0,2023,2024
Genoa,27,19,5030000.0,135750000.0,2023,2024
Udinese,29,26,4680000.0,135700000.0,2023,2024
Monza,30,11,4380000.0,131300000.0,2023,2024
Frosinone,33,18,3140000.0,103500000.0,2023,2024
Lecce,28,21,2890000.0,80830000.0,2023,2024
Salernitana,31,23,2560000.0,79400000.0,2023,2024
Cagliari,27,13,2910000.0,78480000.0,2023,2024
Empoli,28,14,2450000.0,68600000.0,2023,2024
Verona,27,19,2530000.0,68380000.0,2023,2024
Bayern Munich,32,15,24530000.0,784880000.0,2018,2019
Dortmund,34,20,18920000.0,643250000.0,2018,2019
RB Leipzig,34,22,14090000.0,479000000.0,2018,2019
Bayer Leverkusen,31,16,13850000.0,429400000.0,2018,2019
Hoffenheim,38,23,8850000.0,336250000.0,2018,2019
Eintracht Frankfurt,47,29,6670000.0,313400000.0,2018,2019
B. Monchengladbach,30,16,8810000.0,264300000.0,2018,2019
Wolfsburg,36,22,6370000.0,229250000.0,2018,2019
Schalke,39,24,5670000.0,221300000.0,2018,2019
Hertha Berlin,36,20,5770000.0,207630000.0,2018,2019
Werder Bremen,33,18,5090000.0,168050000.0,2018,2019
Mainz,35,20,4560000.0,159730000.0,2018,2019
Stuttgart,34,17,4230000.0,143750000.0,2018,2019
Augsburg,40,19,3480000.0,139250000.0,2018,2019
Freiburg,34,8,3590000.0,122100000.0,2018,2019
Dusseldorf,34,17,2790000.0,94900000.0,2018,2019
Hannover 96,37,18,2470000.0,91430000.0,2018,2019
1.FC Nuremberg,29,12,1880000.0,54400000.0,2018,2019
Bayern Munich,38,21,20460000.0,777330000.0,2019,2020
Dortmund,37,21,17680000.0,654050000.0,2019,2020
RB Leipzig,38,26,15010000.0,570480000.0,2019,2020
Bayer Leverkusen,29,18,13760000.0,398950000.0,2019,2020
B. Monchengladbach,34,18,7490000.0,254700000.0,2019,2020
Hoffenheim,37,25,6110000.0,226050000.0,2019,2020
Schalke,33,20,6710000.0,221580000.0,2019,2020
Hertha Berlin,42,23,5170000.0,217200000.0,2019,2020
Eintracht Frankfurt,35,24,5970000.0,208980000.0,2019,2020
Wolfsburg,38,23,5460000.0,207600000.0,2019,2020
Werder Bremen,36,18,3750000.0,135130000.0,2019,2020
Freiburg,30,10,4090000.0,122650000.0,2019,2020
Mainz,35,19,3470000.0,121580000.0,2019,2020
Augsburg,37,18,3050000.0,112950000.0,2019,2020
FC Koln,35,14,2810000.0,98480000.0,2019,2020
Dusseldorf,37,17,1940000.0,71730000.0,2019,2020
Union Berlin,34,11,1210000.0,41200000.0,2019,2020
Paderborn,32,15,903000.0,28900000.0,2019,2020
Bayern Munich,45,22,19070000.0,858230000.0,2020,2021
Dortmund,32,17,19640000.0,628400000.0,2020,2021
RB Leipzig,32,23,17970000.0,574950000.0,2020,2021
Bayer Leverkusen,33,22,11310000.0,373250000.0,2020,2021
B. Monchengladbach,33,19,9110000.0,300750000.0,2020,2021
Eintracht Frankfurt,36,24,7480000.0,269150000.0,2020,2021
Wolfsburg,30,20,8560000.0,256830000.0,2020,2021
Hertha Berlin,38,22,6020000.0,228880000.0,2020,2021
Hoffenheim,37,26,6170000.0,228150000.0,2020,2021
Stuttgart,32,16,5910000.0,189250000.0,2020,2021
Mainz,36,18,4540000.0,163300000.0,2020,2021
Freiburg,30,13,4640000.0,139100000.0,2020,2021
Schalke,45,27,2730000.0,123050000.0,2020,2021
FC Koln,36,17,3280000.0,118200000.0,2020,2021
Werder Bremen,33,15,3390000.0,111980000.0,2020,2021
Augsburg,31,20,3000000.0,93050000.0,2020,2021
Union Berlin,33,10,2490000.0,82050000.0,2020,2021
Arminia Bielefeld,33,15,1720000.0,56730000.0,2020,2021
Bayern Munich,38,20,20800000.0,790330000.0,2021,2022
Dortmund,44,25,12700000.0,558980000.0,2021,2022
RB Leipzig,34,23,14680000.0,498950000.0,2021,2022
Bayer Leverkusen,35,25,13000000.0,455050000.0,2021,2022
Wolfsburg,37,24,7280000.0,269300000.0,2021,2022
B. Monchengladbach,31,14,7640000.0,236800000.0,2021,2022
Eintracht Frankfurt,36,23,6350000.0,228750000.0,2021,2022
Hoffenheim,40,21,5290000.0,211430000.0,2021,2022
Freiburg,32,12,5510000.0,176350000.0,2021,2022
Stuttgart,39,21,4470000.0,174230000.0,2021,2022
Hertha Berlin,45,22,3460000.0,155750000.0,2021,2022
Mainz,34,18,3850000.0,131030000.0,2021,2022
Union Berlin,40,15,2900000.0,115900000.0,2021,2022
FC Koln,31,13,3200000.0,99280000.0,2021,2022
Augsburg,32,20,2980000.0,95300000.0,2021,2022
Arminia Bielefeld,34,20,1940000.0,65849999.99999999,2021,2022
Bochum,33,15,1580000.0,52250000.0,2021,2022
Greuther Furth,34,15,1090000.0,36950000.0,2021,2022
Bayern Munich,35,22,27110000.0,948950000.0,2022,2023
Dortmund,37,19,15340000.0,567550000.0,2022,2023
RB Leipzig,29,19,16770000.0,486400000.0,2022,2023
Bayer Leverkusen,35,25,12930000.0,452550000.0,2022,2023
Eintracht Frankfurt,36,22,9020000.0,324550000.0,2022,2023
B. Monchengladbach,35,16,6910000.0,241680000.0,2022,2023
Wolfsburg,33,20,7220000.0,238300000.0,2022,2023
Freiburg,29,11,6930000.0,200950000.0,2022,2023
Hoffenheim,37,21,4830000.0,178800000.0,2022,2023
Union Berlin,36,17,4390000.0,157950000.0,2022,2023
Stuttgart,39,21,3870000.0,151050000.0,2022,2023
Mainz,34,17,3990000.0,135800000.0,2022,2023
Augsburg,42,24,3150000.0,132230000.0,2022,2023
FC Koln,39,16,2970000.0,115650000.0,2022,2023
Hertha Berlin,41,22,2290000.0,94000000.0,2022,2023
Werder Bremen,33,10,2710000.0,89500000.0,2022,2023
Schalke,43,22,2040000.0,87780000.0,2022,2023
Bochum,32,18,1680000.0,53700000.0,2022,2023
Bayern Munich,27,16,34420000.0,929450000.0,2023,2024
Bayer Leverkusen,27,22,22020000.0,594550000.0,2023,2024
RB Leipzig,24,16,20700000.0,496900000.0,2023,2024
Dortmund,28,13,16559999.999999998,463700000.0,2023,2024
Stuttgart,28,11,9930000.0,277900000.0,2023,2024
Eintracht Frankfurt,34,20,7080000.0,240850000.0,2023,2024
Wolfsburg,28,18,8080000.0,226200000.0,2023,2024
Freiburg,27,11,6970000.0,188200000.0,2023,2024
B. Monchengladbach,31,16,5980000.0,185230000.0,2023,2024
Union Berlin,25,15,5790000.0,144650000.0,2023,2024
Hoffenheim,28,12,5160000.0,144350000.0,2023,2024
Augsburg,27,16,4530000.0,122350000.0,2023,2024
Mainz,27,11,3810000.0,102850000.0,2023,2024
Werder Bremen,25,12,3900000.0,97600000.0,2023,2024
FC Koln,29,8,3230000.0,93550000.0,2023,2024
Bochum,29,13,2180000.0,63100000.0,2023,2024
Heidenheim,28,5,2180000.0,61050000.0,2023,2024
Darmstadt,31,11,1320000.0,40850000.0,2023,2024
PSG,39,22,25900000.0,1010000000.0,2018,2019
Lyon,34,19,13760000.0,467950000.0,2018,2019
Monaco,57,38,6770000.0,385830000.0,2018,2019
Lille,32,25,8359999.999999999,267550000.0,2018,2019
Marseille,33,16,7830000.0,258350000.00000003,2018,2019
Nice,38,18,4820000.0,183200000.0,2018,2019
Bordeaux,43,22,4160000.0,179000000.0,2018,2019
Rennes,41,18,4110000.000000001,168450000.0,2018,2019
St Etienne,42,17,3130000.0,131250000.0,2018,2019
Nantes,40,28,2990000.0,119500000.0,2018,2019
Toulouse,40,20,2830000.0,113250000.0,2018,2019
Montpellier,32,17,3430000.0,109850000.0,2018,2019
Strasbourg,33,16,2970000.0,98000000.0,2018,2019
Nimes,31,13,2840000.0,88150000.0,2018,2019
Reims,37,22,2350000.0,86950000.0,2018,2019
Angers,38,19,2100000.0,79700000.0,2018,2019
EA Guingamp,37,18,1910000.0,70650000.0,2018,2019
Amiens,36,19,1960000.0,70500000.0,2018,2019
SM Caen,39,19,1730000.0,67550000.0,2018,2019
Dijon,32,18,2060000.0,65800000.0,2018,2019
PSG,35,25,24980000.0,874150000.0,2019,2020
Lyon,33,22,11650000.0,384550000.0,2019,2020
Monaco,39,28,8490000.0,331030000.0,2019,2020
